Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Wawww mantap rasanya;1
Favoritnya yg mana nih kak?;1
Desainnya sangat bagus sekali kak;1
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart;0,,,
rt @teddygusnaidi: yang dikiri dia pikir dia ariel, yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 ;0,,,
rt @elyakin4: saya kaget lihat jempol bu silvy kebawah saat dengar penjelasan paslon 2. emang hrs gitu ya bu silvy? kayak preman.\u2026 ;0,,,,
rt @erixputra: #debat2pilkadadki knp sylviana mengacungkan jempol kebawah? bicara panjang lebar tanpa ada pertanyaan?\n\nkarena cewek tidak p\u2026;0,,,,
rt @arifahelfishy: nurunin jempol kebawah ya tadi wkwkww attitude nya mana ya? #debat2pilkadadki;0,,,,
rt @pbenyw: ipm di dki tertinggi berdasar data bps. bagaimana mas @aniesbaswedan ? cc @basuki_btp \n#debat2pilkadadki https:\/\/t.co\/54celjudqc;1,,,,
rt @zul_hasan: sebelum debat kompak dukung agus - sylvi. setelah #debat2pilkadadki makin solid dukung @agussylvidki || @sohibahy\u2026 ;1,,,,
rt @ponakannyaom: paslon 3 masih berbicara seperti anime naruto dan bleach\n\nbanyak filler\n\n#debat2pilkadadki;0,,,,
rt @ariearie_14: debat kok saling menjatuhkan ki pie? dua dua nya nyerang. eh malah bertengkar sendiri. (yg di serang melerai) *ngakak \ud83d\ude04\n#d\u2026;0,,,,
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! janji calon gubernur soal pembang... https:\/\/t.co\/dduvvxek1c #debat2pilkadadki;0,,,,
rt @imadya: anies semakin terlihat aslinya. masyarakat sudah cerdas tidak mudah dibohongi dengan opini2nya yang mengelabui data #debat2pilk\u2026;0,,,,
@gunromli mgk sebaiknya @aniesbaswedan siap2 beli tiket pswt pulang ke kampung nenek moyangnya di a**b sana..\ud83d\ude02\ud83d\ude05\u270c\ufe0f\ufe0f #debat2pilkadadki;0,,,,
rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026;0,,,,
rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki;0,,,,
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/nxowqxyhfy #debat2pilkadadki https:\/\/t.co\/7oaurnmatd;0,,,
rt @rianernesto: di #debat2pilkadadki ada pak antasari azhar. suporter paslon teriak bongkar bongkar. ada seorang ibu dag dig dug;0,,,,
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja perwakilan ormas islam j... https:\/\/t.co\/eviwhceffh #debat2pilkadadki #imlek;0,,,,
jangan pernah merobohkan pagar tanpa mengetahui me https:\/\/t.co\/2zb8o60uwf #debat2pilkadadki;0,,,,
rt @andra_diansyah: waktu agus bilang gak gusur tapi cuma geser, gue inget tatan lhoo #debat2pilkadajkt #debat2pilkadadki;0,,,
rt @annisapohon_: kata siapa mas agus enggak punya solusi utk masalah dki jkt? mas agus itu punya solusi bambang yudhoyono, sby... \ud83d\ude42#ahydki\u2026;0,,,
rt @teddygusnaidi: 5. tidak bisa dalam waktu 2 tahun hrs membereskan semuanya, karena masih ada yg dalam progres. ini bukan sulap simsalabi\u2026;0,,,
rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian, banyak masalah dan belum lagi soal salah hitung anggara\u2026;0,,,
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;0,,,
rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 ;0,,,,
rt @josua_tm: ibu sylvi adalah contoh bahwa wanita itu sulit ditebak dan pak anies contoh pria yg gak peka. #debat2pilkadadki;1,,,,
besok saya ajak kesana saja, saya udah survei minggu lalu, itu masuk bagian dr ibukota jakarta \ud83d\ude0a https:\/\/t.co\/mcmflaa5yo;1,,
benerr bgt.. dan tidak mengajak penonton ikut mikir \ud83d\ude06 https:\/\/t.co\/jqnzamb7r3;1,,,,
rt @gandy_koz: pak anis,kl pas libur lebaran iseng2 deh ke ancol,.itu pantai isinya rakyat semua pak... bukan kecebong  #debat2pilkadadki;1,,
